Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
RodWave,@rodwave,2024-11-16T11:54:30.000Z,True,U can rap dat gangsta shit I still don’t feel you,89,1.5K,6.3K,206K,[],[],[],https://pbs.twimg.com/profile_images/1842352202368606208/yxLVZXGo_normal.jpg,https://x.com/rodwave/status/1857754110881120376,tweet_id:1857754110881120376
Zaraishere,@GamerGirl73_,2024-11-16T00:23:55.000Z,False,frogs when they see a lily pad,5,1.7K,13K,224K,[],[],[],https://pbs.twimg.com/profile_images/1179054128133218304/zHvj3oEl_normal.jpg,https://x.com/GamerGirl73_/status/1857580321174335660,tweet_id:1857580321174335660
RYAN GARCIA,@RyanGarcia,2024-11-16T05:43:13.000Z,True,No point of that fight,2.9K,7.5K,107K,3.9M,[],[],[],https://pbs.twimg.com/profile_images/1811057797020471296/Vi0r6GgF_normal.jpg,https://x.com/RyanGarcia/status/1857660675901759586,tweet_id:1857660675901759586
Netflix,@netflix,2024-11-15T23:41:50.000Z,True,Like for Jake Paul. RT for Mike Tyson. #PaulTyson,14K,88K,44K,20M,['#PaulTyson'],[],[],https://pbs.twimg.com/profile_images/1792606763340169216/XXYWIqyY_normal.jpg,https://x.com/netflix/status/1857569733018792008,tweet_id:1857569733018792008
ZekerToons,@EdverArt,2024-11-15T22:33:59.000Z,False,New tattoo ,135,1.3K,21K,340K,[],[],"['\\u2728', '\\u2728', '\\U0001f41f', '\\U0001f427']",https://pbs.twimg.com/profile_images/1846675513982496768/_aQQmrla_normal.jpg,https://x.com/EdverArt/status/1857552657260449995,tweet_id:1857552657260449995
michael,@FilledwithUrine,2024-11-16T01:03:05.000Z,False,if yall want to watch a 27 year old fight a 58 year old man so badly just put me in the same room with my father,357,23K,221K,4.3M,[],[],[],https://pbs.twimg.com/profile_images/1854603477634199562/poeIodgr_normal.jpg,https://x.com/FilledwithUrine/status/1857590177029312984,tweet_id:1857590177029312984
Bianca Henninger,@Beeyoncs,2024-11-16T20:03:56.000Z,False,Love this take,0,0,2,165,[],[],[],https://pbs.twimg.com/profile_images/828119313437503488/gWSzK8cA_normal.jpg,https://x.com/Beeyoncs/status/1857877283530268829,tweet_id:1857877283530268829
Ryan Duey,@RADuey,2024-11-16T13:40:46.000Z,True,Thanks  !,1,0,4,58,[],['@JoePompliano'],[],https://pbs.twimg.com/profile_images/1606735048279003136/2oj6xqfn_normal.jpg,https://x.com/RADuey/status/1857780855076512111,tweet_id:1857780855076512111
HOOD VOGUE is tired of poverty,@keyon,2024-11-16T05:26:34.000Z,False,Netflix make sure y’all take $4 off my bill next month because wtf,71,2.8K,31K,476K,[],[],[],https://pbs.twimg.com/profile_images/1330014676214693889/3jMHHZ2z_normal.jpg,https://x.com/keyon/status/1857656485938860077,tweet_id:1857656485938860077
Terence Crawford,@terencecrawford,2024-11-16T05:39:50.000Z,True,"I love Mike Tyson, but they giving him too much credit. He looked like trash, to train that long and only throw 97 punches the whole fight is crazy. I’m just glad he didn’t get hurt out there.",4.9K,5.2K,78K,5.6M,[],[],[],https://pbs.twimg.com/profile_images/820583694784200705/ubEMfgH7_normal.jpg,https://x.com/terencecrawford/status/1857659826253221931,tweet_id:1857659826253221931
